sample	group	chao1	observed_otus	shannon	simpson	goods_coverage
H-10	NW	1.997	1.997	0.328197	0.114714	0.998988
H-118	NW	0	0	0	0	0
H-119	NW	0.999001	0.999001	0	0	0.999001
H-120	NW	2.02098	1.97802	0.688182	0.306609	0.952319
H-161	NW	0.756	0.756	0.0783811	0.03854	0.493667
H-193	NW	0.702298	0.702298	0	0	0.599401
H-314	NW	0	0	0	0	0
O-121	O	0.02997	0.02997	0	0	0.02997
O-122	O	0	0	0	0	0
O-123	O	1.998	1.998	0.850243	0.40005	0.999001
O-152	O	2.12488	2.12488	0.261155	0.0844608	0.998976
O-39	O	1.03796	1.03796	0.0130526	0.0045683	0.996871
O-418	O	0	0	0	0	0
O-420	O	0	0	0	0	0
O-434	O	1.99301	1.99301	0.947969	0.466235	0.998499
O-445	O	0	0	0	0	0
OMC-124	OMS	0	0	0	0	0
OMC-125	OMS	0	0	0	0	0
OMC-126	OMS	0	0	0	0	0
OMC-288	OMS	0.999001	0.999001	0	0	0.999001
OMC-446	OMS	0.982018	0.982018	0	0	0.979021
OMC-55	OMS	0	0	0	0	0